number,fertilization,thermoregulation,class,order,family,species,body_mass,body_mass_log,souce_body_mass,sperm_length,sperm_length_log,source_sperm_length,testes_mass,testes_mass_log,source_testes_mass,clutch_size,clutch_size_log,source_clutch_size,genome_size,source_genome_size
855,internal,endotherm,Mammalia,Rodentia,Cricetidae,Microtus cabrerae,52.5,1.72,Etard et al 2020,85.12,1.930031615,Fitzpatrick et al 2022,0.14,-0.85,Tourmente et al 2015,,,,,
856,internal,endotherm,Mammalia,Rodentia,Cricetidae,Microtus duodecimcostatus,22.86,1.36,Etard et al 2020,62.69,1.79719827,Fitzpatrick et al 2022,0.08,-1.1,Tourmente et al 2015,2.515,0.400537989,Etard et al 2020,2.5,Animal genome size database
857,internal,endotherm,Mammalia,Rodentia,Cricetidae,Microtus lusitanicus,24.82,1.39,Etard et al 2020,86.02,1.934599438,Fitzpatrick et al 2022,0.09,-1.05,Tourmente et al 2015,2.0675,0.315445518,Etard et al 2020,,
653,internal,endotherm,Mammalia,Rodentia,Cricetidae,Microtus ochrogaster,42.5,1.63,Etard et al 2020,94.4,1.974971994,Fitzpatrick et al 2022,0.88,-0.06,Baker et al 2020,3.835,0.583765368,Etard et al 2020,,
1080,internal,ectotherm,Reptilia,Squamata,Elapidae,Micrurus altirostris,483.4,2.68,Etard et al 2020,102.6,2.011147361,Fitzpatrick et al 2022,,,,4.5,0.653212514,Etard et al 2020,,
1081,internal,ectotherm,Reptilia,Squamata,Elapidae,Micrurus corallinus,244.42,2.39,Etard et al 2020,96.44,1.984257202,Fitzpatrick et al 2022,,,,7,0.84509804,Etard et al 2020,,
969,internal,ectotherm,Reptilia,Squamata,Elapidae,Micrurus frontalis,35.55,1.55,Tourmente et al 2009,106.2,2.026124517,Fitzpatrick et al 2022,0.11,-0.95,Tourmente et al 2009,,,,,
1363,internal,ectotherm,Reptilia,Squamata,Elapidae,Micrurus pyrrhocryptus,848,2.93,Etard et al 2020,101.1,2.004751156,Fitzpatrick et al 2022,0.15,-0.82,Tourmente et al 2009,5.5,0.740362689,Etard et al 2020,,
1082,internal,ectotherm,Reptilia,Squamata,Elapidae,Micrurus surinamensis,496.8,2.7,Etard et al 2020,100.4,2.001733713,Fitzpatrick et al 2022,,,,8.5,0.929418926,Etard et al 2020,,
832,internal,endotherm,Mammalia,Rodentia,Muridae,Millardia meltada,67.4,1.83,Etard et al 2020,94,1.973127854,Fitzpatrick et al 2022,1.08,0.03,Baker et al 2020,5.695,0.755493728,Etard et al 2020,,
403,internal,endotherm,Aves,Passeriformes,Tyrannidae,Mionectes oleagineus,11.23,1.05,Etard et al 2020,47.18,1.673757937,Fitzpatrick et al 2022,0.04,-1.45,Rowe et al 2015,3,0.477121255,Etard et al 2020,1.13,Animal genome size database
167,internal,endotherm,Aves,Passeriformes,Alaudidae,Mirafra africana,43.42,1.64,Etard et al 2020,77.13,1.887223331,Fitzpatrick et al 2022,0.26,-0.59,Immler et al 2011,2.8,0.447158031,Etard et al 2020,,
169,internal,endotherm,Aves,Passeriformes,Alaudidae,Mirafra apiata,26.87,1.43,Etard et al 2020,84.65,1.927626962,Fitzpatrick et al 2022,0.19,-0.72,Immler et al 2011,2.4,0.380211242,Jetz et al 2008,,
489,internal,endotherm,Mammalia,Carnivora,Phocidae,Mirounga leonina,3510000,6.55,Anage,73.7,1.867467488,Fitzpatrick et al 2022,,,,1,0,Anage,,
84,external,ectotherm,Amphibia,Anura,Myobatrachidae,Mixophyes balbus,12.63,1.1,Etard et al 2020,44.075,1.644192321,Fitzpatrick et al 2022,0.02,-1.65,Baker et al 2020,551.25,2.741348602,Etard et al 2020,,
85,external,ectotherm,Amphibia,Anura,Myobatrachidae,Mixophyes fasciolatus,46.5,1.67,Etard et al 2020,45.932,1.662115356,Fitzpatrick et al 2022,0.03,-1.48,Baker et al 2020,1077.5,3.032417279,Etard et al 2020,,
13,external,ectotherm,Amphibia,Anura,Myobatrachidae,Mixophyes iteratus,51.2,1.71,Etard et al 2020,48.993,1.690134034,Fitzpatrick et al 2022,0.06,-1.19,Byrne et al 2002,2464.665,3.391757898,Etard et al 2020,,
86,external,ectotherm,Amphibia,Anura,Myobatrachidae,Mixophyes schevilli,31.85,1.5,Etard et al 2020,43.312,1.636608238,Fitzpatrick et al 2022,0.04,-1.44,Baker et al 2020,427,2.630427875,Etard et al 2020,,
404,internal,endotherm,Aves,Passeriformes,Parulidae,Mniotilta varia,10.7,1.03,Etard et al 2020,167.78,2.22474019,Fitzpatrick et al 2022,0.08,-1.1,Baker et al 2020,4.88,0.688419822,Etard et al 2020,1.29,Animal genome size database
221,internal,endotherm,Aves,Passeriformes,Icteridae,Molothrus aeneus,62.9,1.8,Etard et al 2020,87.03,1.939668984,Fitzpatrick et al 2022,0.84,-0.08,Immler et al 2011,1,0,Etard et al 2020,,
222,internal,endotherm,Aves,Passeriformes,Icteridae,Molothrus ater,42.15,1.62,Etard et al 2020,61.24,1.787035182,Fitzpatrick et al 2022,0.88,-0.06,Baker et al 2020,4.3,0.633468456,Etard et al 2020,1.41,Animal genome size database
207,internal,endotherm,Aves,Passeriformes,Icteridae,Molothrus badius,45.25,1.66,Etard et al 2020,114.15,2.057475916,Fitzpatrick et al 2022,0.85,-0.07,Immler et al 2011,,,,,
223,internal,endotherm,Aves,Passeriformes,Icteridae,Molothrus bonariensis,38.4,1.58,Etard et al 2020,79.46,1.900148561,Fitzpatrick et al 2022,0.29,-0.54,Baker et al 2020,,,,1.51,Animal genome size database
224,internal,endotherm,Aves,Passeriformes,Icteridae,Molothrus oryzivorus,181.85,2.26,Etard et al 2020,81.61,1.911743378,Fitzpatrick et al 2022,0.67,-0.18,Immler et al 2011,,,,,
225,internal,endotherm,Aves,Passeriformes,Icteridae,Molothrus rufoaxillaris,50.75,1.71,Etard et al 2020,81.07,1.908860173,Fitzpatrick et al 2022,0.21,-0.68,Immler et al 2011,,,,,
514,internal,endotherm,Mammalia,Didelphiomorphia,Didelphidae,Monodelphis domestica,93.45,1.97,Etard et al 2020,211.9,2.326130957,Fitzpatrick et al 2022,0.57,-0.24,Baker et al 2020,8.145,0.910891089,Etard et al 2020,,
743,internal,endotherm,Mammalia,Chiroptera,Molossidae,Mormopterus planiceps,9.02,0.96,Etard et al 2020,66,1.819543936,Fitzpatrick et al 2022,0.09,-1.05,Baker et al 2020,0.99,-0.004364805,Etard et al 2020,,
405,internal,endotherm,Aves,Passeriformes,Motacillidae,Motacilla alba,23.93,1.38,Etard et al 2020,92.15,1.96449534,Fitzpatrick et al 2022,1.1,0.04,Baker et al 2020,5.25,0.720159303,Etard et al 2020,,
241,internal,endotherm,Aves,Passeriformes,Motacillidae,Motacilla flava,17.58,1.24,Etard et al 2020,95.09,1.978134847,Fitzpatrick et al 2022,0.37,-0.43,Baker et al 2020,5.2,0.716003344,Etard et al 2020,,
1006,internal,endotherm,Mammalia,Carnivora,Herpestidae,Mungos mungo,1331.5,3.12,Etard et al 2020,78.694,1.895941621,Fitzpatrick et al 2022,1.76,0.25,Baker et al 2020,2.68,0.428134794,Etard et al 2020,,
895,internal,endotherm,Mammalia,Cetartiodactyla,Cervidae,Muntiacus muntjak,16768.69,4.22,Etard et al 2020,58.16,1.764624398,Fitzpatrick et al 2022,6.5,0.81,Baker et al 2020,1.085,0.035429738,Etard et al 2020,1.94,Animal genome size database
896,internal,endotherm,Mammalia,Cetartiodactyla,Cervidae,Muntiacus reevesi,13499.97,4.13,Etard et al 2020,59.758,1.776396054,Fitzpatrick et al 2022,18.24,1.26,Lupold & Fitzpatrick 2015,0.99,-0.004364805,Etard et al 2020,2.85,Animal genome size database
1047,internal,endotherm,Mammalia,Rodentia,Muridae,Mus minutoides,7.01,0.85,Etard et al 2020,84,1.924279286,Fitzpatrick et al 2022,0.07,-1.17,Baker et al 2020,4.18,0.621176282,Etard et al 2020,,
655,internal,endotherm,Mammalia,Rodentia,Muridae,Mus musculus,19.3,1.29,Etard et al 2020,122.9,2.089551883,Fitzpatrick et al 2022,0.12,-0.92,Baker et al 2020,5.805,0.763802224,Etard et al 2020,2.45,Animal genome size database
858,internal,endotherm,Mammalia,Rodentia,Muridae,Mus pahari,25.73,1.41,Etard et al 2020,137.56,2.138492167,Fitzpatrick et al 2022,0.12,-0.92,Tourmente et al 2015,,,,,
859,internal,endotherm,Mammalia,Rodentia,Muridae,Mus spicilegus,16.95,1.23,Etard et al 2020,103.54,2.015108161,Fitzpatrick et al 2022,0.41,-0.39,Tourmente et al 2015,6.38,0.804820679,Etard et al 2020,3.07,Animal genome size database
860,internal,endotherm,Mammalia,Rodentia,Muridae,Mus spretus,16.67,1.22,Etard et al 2020,111.49,2.047235915,Fitzpatrick et al 2022,0.29,-0.54,Tourmente et al 2015,5.4775,0.738582386,Etard et al 2020,3.68,Animal genome size database
406,internal,endotherm,Aves,Passeriformes,Muscicapidae,Muscicapa striata,16.83,1.23,Etard et al 2020,186.82,2.271423368,Fitzpatrick et al 2022,0.07,-1.15,Rowe et al 2015,3.5,0.544068044,Etard et al 2020,1.46,Animal genome size database
962,internal,ectotherm,Reptilia,Squamata,Colubridae,Mussurana bicolor,86.43,1.94,Tourmente et al 2009,105.39,2.022799405,Tourmente et al 2009,0.54,-0.27,Tourmente et al 2009,,,,,
1359,internal,ectotherm,Reptilia,Squamata,Colubridae,Mussurana bicolor,177.83,2.25,Etard et al 2020,105.39,2.022799405,Fitzpatrick et al 2022,,,,,,,,
472,internal,endotherm,Mammalia,Carnivora,Mustelidae,Mustela eversmannii,2051.16,3.31,Baker et al 2020,78.6,1.895422546,Fitzpatrick et al 2022,3.05,0.49,Baker et al 2020,,,,,
613,internal,endotherm,Mammalia,Carnivora,Mustelidae,Mustela putorius,915.37,2.96,Etard et al 2020,73.734,1.867667795,Fitzpatrick et al 2022,3.28,0.52,Baker et al 2020,8.08,0.907411361,Etard et al 2020,2.81,Animal genome size database
407,internal,endotherm,Aves,Passeriformes,Tyrannidae,Myiarchus crinitus,33.28,1.52,Etard et al 2020,52.94,1.723783937,Fitzpatrick et al 2022,0.39,-0.41,Baker et al 2020,5,0.698970004,Etard et al 2020,1.32,Animal genome size database
336,internal,endotherm,Aves,Psittaciformes,Psittacidae,Myiopsitta monachus,115,2.06,Etard et al 2020,77.7,1.890421019,Fitzpatrick et al 2022,,,,6,0.77815125,Etard et al 2020,,
87,external,ectotherm,Amphibia,Anura,Myobatrachidae,Myobatrachus gouldii,3.66,0.56,Etard et al 2020,31.26,1.494988974,Fitzpatrick et al 2022,0,-2.42,Baker et al 2020,23.5,1.371067862,Etard et al 2020,,
657,internal,endotherm,Mammalia,Rodentia,Myocastoridae,Myocastor coypus,6937.45,3.84,Etard et al 2020,34.64,1.539577883,Fitzpatrick et al 2022,9.6,0.98,Lupold & Fitzpatrick 2015,5.34,0.727541257,Etard et al 2020,3.6,Animal genome size database
865,internal,endotherm,Mammalia,Rodentia,Cricetidae,Myodes glareolus,20.77,1.32,Etard et al 2020,83.91,1.923813721,Fitzpatrick et al 2022,0.65,-0.19,Baker et al 2020,4.3025,0.633720879,Etard et al 2020,,
786,internal,endotherm,Mammalia,Rodentia,Arvicolidae,Myodes glareolus,21.8,1.34,Tourmente et al 2011,86.7,1.938019097,Fitzpatrick et al 2022,0.65,-0.19,Tourmente et al 2011,5.3,0.72427587,Soulsbury 2010,2.81,Animal genome size database
1237,internal,endotherm,Mammalia,Rodentia,Cricetidae,Myodes rufocanus,29.5,1.47,Anage,95.8,1.981365509,Fitzpatrick et al 2022,,,,4.1,0.612783857,Etard et al 2020,3.19,Animal genome size database
715,internal,endotherm,Mammalia,Rodentia,Dasyproctidae,Myoprocta pratti,940.37,2.97,Etard et al 2020,40.19,1.604118006,Fitzpatrick et al 2022,,,,1.82,0.260071388,Etard et al 2020,,
748,internal,endotherm,Mammalia,Chiroptera,Vespertilionidae,Myotis austroriparius,7.1,0.85,Etard et al 2020,49,1.69019608,Fitzpatrick et al 2022,,,,1.91,0.281033367,Etard et al 2020,,
749,internal,endotherm,Mammalia,Chiroptera,Vespertilionidae,Myotis grisescens,10.54,1.02,Etard et al 2020,72.6,1.860936621,Fitzpatrick et al 2022,,,,0.9925,-0.003269485,Etard et al 2020,,
1141,internal,endotherm,Mammalia,Chiroptera,Vespertilionidae,Myotis keenii,6.27,0.8,Etard et al 2020,62,1.792391689,Fitzpatrick et al 2022,,,,0.995,-0.002176919,Etard et al 2020,2.21,Animal genome size database
750,internal,endotherm,Mammalia,Chiroptera,Vespertilionidae,Myotis sodalis,7.15,0.85,Etard et al 2020,65.6,1.816903839,Fitzpatrick et al 2022,,,,0.9925,-0.003269485,Etard et al 2020,,
1024,internal,endotherm,Mammalia,Rodentia,Muridae,Myotomys sloggetti,106.3,2.03,Etard et al 2020,110,2.041392685,Fitzpatrick et al 2022,,,,1.44,0.158362492,Etard et al 2020,,
1025,internal,endotherm,Mammalia,Rodentia,Muridae,Myotomys unisulcatus,102.5,2.01,Etard et al 2020,118.7,2.074450719,Fitzpatrick et al 2022,,,,1.42,0.152288344,Etard et al 2020,,
661,internal,endotherm,Mammalia,Dasyuromorphia,Myrmecobiidae,Myrmecobius fasciatus,491.47,2.69,Etard et al 2020,138.4,2.14113609,Fitzpatrick et al 2022,,,,3.84,0.584331224,Etard et al 2020,,
584,internal,endotherm,Mammalia,Cetartiodactyla,Bovidae,Nanger dama,58220,4.77,Lupold & Fitzpatrick 2015,61.9,1.791690649,Fitzpatrick et al 2022,43.06,1.63,Lupold & Fitzpatrick 2015,,,,,
885,internal,endotherm,Mammalia,Cetartiodactyla,Bovidae,Nanger granti,72100,4.86,Lupold et al 2015,55.762,1.746338342,Fitzpatrick et al 2022,,,,,,,3.3,Animal genome size database
1289,external,ectotherm,Amphibia,Anura,Bufonidae,Nannophryne variegata,45,1.65,Etard et al 2020,67,1.826074803,Fitzpatrick et al 2022,,,,138.5,2.141449773,Etard et al 2020,,
88,external,ectotherm,Amphibia,Anura,Dicroglossidae,Nanorana parkeri,8.7,0.94,Etard et al 2020,118.7,2.074450719,Fitzpatrick et al 2022,0.04,-1.43,Baker et al 2020,251,2.399673721,Etard et al 2020,,
89,external,ectotherm,Amphibia,Anura,Dicroglossidae,Nanorana pleskei,17.54,1.24,Baker et al 2020,126.3,2.101403351,Fitzpatrick et al 2022,0.04,-1.43,Baker et al 2020,50,1.698970004,Etard et al 2020,,
40,external,ectotherm,Amphibia,Anura,Dicroglossidae,Nanorana quadranus,41.64,1.62,Liao et al 2018,167.8,2.224791956,Liao et al 2018,0.74,-0.13,Liao et al 2018,935,2.970811611,Lupold et al 2017,,
90,external,ectotherm,Amphibia,Anura,Dicroglossidae,Nanorana ventripunctata,4.26,0.63,Baker et al 2020,107.7,2.032215703,Fitzpatrick et al 2022,0.02,-1.74,Baker et al 2020,311,2.492760389,Etard et al 2020,,
1382,external,ectotherm,Amphibia,Anura,Dicroglossidae,Nanorana yunnanensis,29.99,1.48,Baker et al 2020,138.9,2.142702246,Fitzpatrick et al 2022,0.41,-0.39,Baker et al 2020,811.5,2.909288524,Etard et al 2020,,
104,external,ectotherm,Amphibia,Anura,Dicroglossidae,Nanorana yunnanensis,40.04,1.6,Liao et al 2018,138.9,2.142702246,Fitzpatrick et al 2022,0.45,-0.35,Liao et al 2018,810,2.908485019,Lupold et al 2017,,
1057,internal,endotherm,Mammalia,Rodentia,Dipodidae,Napaeozapus insignis,22.25,1.35,Etard et al 2020,90,1.954242509,Fitzpatrick et al 2022,,,,4.48,0.651278014,Etard et al 2020,,
615,internal,endotherm,Mammalia,Carnivora,Procyonidae,Nasua nasua,3793.85,3.58,Etard et al 2020,78.34,1.893983567,Fitzpatrick et al 2022,5.18,0.71,Baker et al 2020,3.75,0.574031268,Etard et al 2020,,
91,external,ectotherm,Amphibia,Anura,Myobatrachidae,Neobatrachus albipes,6.05,0.78,Etard et al 2020,32.15,1.507180977,Fitzpatrick et al 2022,0.02,-1.77,Liao et al 2018,966,2.984977126,Lupold et al 2017,,
92,external,ectotherm,Amphibia,Anura,Myobatrachidae,Neobatrachus aquilonius,11.49,1.06,Etard et al 2020,47.556,1.677205318,Fitzpatrick et al 2022,0.03,-1.56,Liao et al 2018,1426,3.154119526,Etard et al 2020,,
97,external,ectotherm,Amphibia,Anura,Myobatrachidae,Neobatrachus centralis,7.67,0.88,Baker et al 2020,51.9,1.715167358,Fitzpatrick et al 2022,0.06,-1.24,Baker et al 2020,478,2.679427897,Lupold et al 2017,,
93,external,ectotherm,Amphibia,Anura,Myobatrachidae,Neobatrachus fulvus,8.61,0.94,Etard et al 2020,33.868,1.529789551,Fitzpatrick et al 2022,0.01,-1.93,Liao et al 2018,,,,,
94,external,ectotherm,Amphibia,Anura,Myobatrachidae,Neobatrachus kunapalari,11.36,1.06,Etard et al 2020,39.857,1.600504607,Fitzpatrick et al 2022,0.03,-1.53,Liao et al 2018,818.5,2.913018684,Etard et al 2020,,
95,external,ectotherm,Amphibia,Anura,Myobatrachidae,Neobatrachus pelobatoides,6.1,0.79,Etard et al 2020,95,1.977723605,Fitzpatrick et al 2022,0.07,-1.16,Baker et al 2020,1000,3,Allen et al 2017,,
96,external,ectotherm,Amphibia,Anura,Myobatrachidae,Neobatrachus pictus,12.34,1.09,Etard et al 2020,57.414,1.759017805,Fitzpatrick et al 2022,0.15,-0.82,Baker et al 2020,1000,3,Etard et al 2020,2.77,Animal genome size database
14,external,ectotherm,Amphibia,Anura,Myobatrachidae,Neobatrachus sudelli,6.87,0.84,Byrne et al 2003,38.748,1.588249291,Fitzpatrick et al 2022,0,-2.38,Byrne et al 2002,,,,,
98,external,ectotherm,Amphibia,Anura,Myobatrachidae,Neobatrachus sutor,3.34,0.52,Etard et al 2020,39.066,1.591798946,Fitzpatrick et al 2022,0,-2.74,Liao et al 2018,1000,3,Etard et al 2020,,
99,external,ectotherm,Amphibia,Anura,Myobatrachidae,Neobatrachus wilsmorei,13.8,1.14,Etard et al 2020,40.574,1.608247825,Fitzpatrick et al 2022,0.02,-1.8,Liao et al 2018,2000,3.301029996,Etard et al 2020,,
194,internal,endotherm,Aves,Passeriformes,Estrildidae,Neochmia modesta,12.74,1.11,Etard et al 2020,64.89,1.812177774,Fitzpatrick et al 2022,0.04,-1.4,Baker et al 2020,5.25,0.720159303,Etard et al 2020,,
195,internal,endotherm,Aves,Passeriformes,Estrildidae,Neochmia phaeton,9.7,0.99,Etard et al 2020,57.78,1.761777538,Fitzpatrick et al 2022,0.05,-1.3,Baker et al 2020,35.65,1.552059534,Etard et al 2020,,
695,internal,endotherm,Mammalia,Rodentia,Muridae,Neofiber alleni,265.69,2.42,Etard et al 2020,74.9,1.874481818,Fitzpatrick et al 2022,,,,2.3325,0.367821652,Etard et al 2020,,
484,internal,endotherm,Mammalia,Cetartiodactyla,Phocoenidae,Neophocaena phocaenoides,71779.43,4.86,Baker et al 2020,62.72,1.79740605,Fitzpatrick et al 2022,1770.11,3.25,Baker et al 2020,1,0,Anage,,
696,internal,endotherm,Mammalia,Rodentia,Muridae,Neotoma floridana,244.75,2.39,Etard et al 2020,138.1,2.140193679,Fitzpatrick et al 2022,,,,2.8675,0.457503427,Etard et al 2020,3.82,Animal genome size database
897,internal,endotherm,Mammalia,Cetartiodactyla,Bovidae,Neotragus moschatus,6501.3,3.81,Baker et al 2020,70.544,1.848460081,Fitzpatrick et al 2022,58.88,1.77,Baker et al 2020,1,0,Anage,,
614,internal,endotherm,Mammalia,Carnivora,Mustelidae,Neovison vison,2388,3.38,Lupold & Fitzpatrick 2015,43,1.633468456,Fitzpatrick et al 2022,5.4,0.73,Lupold & Fitzpatrick 2015,3.161,0.499824496,Soulsbury 2010,,
1098,internal,endotherm,Mammalia,Rodentia,Nesomyidae,Nesomys audeberti,212.5,2.33,Etard et al 2020,169.9,2.230193379,Fitzpatrick et al 2022,,,,,,,,
1099,internal,endotherm,Mammalia,Rodentia,Nesomyidae,Nesomys rufus,163.23,2.21,Etard et al 2020,205.3,2.312388949,Fitzpatrick et al 2022,,,,,,,,
63,external,ectotherm,Amphibia,Anura,Ranidae,Nidirana daunchina,9.21,0.96,Liao et al 2018,55,1.740362689,Liao et al 2018,0.01,-1.89,Liao et al 2018,100,2,Lupold et al 2017,,
108,external,ectotherm,Amphibia,Anura,Ranidae,Nidirana pleuraden,9.91,1,Liao et al 2018,45.7,1.6599162,Fitzpatrick et al 2022,0.02,-1.65,Liao et al 2018,850,2.929418926,Lupold et al 2017,,
1385,external,ectotherm,Amphibia,Anura,Ranidae,Nidirana pleuraden,13.3,1.12,Etard et al 2020,45.7,1.6599162,Fitzpatrick et al 2022,0.03,-1.59,Baker et al 2020,606,2.782472624,Etard et al 2020,,
833,internal,endotherm,Mammalia,Rodentia,Muridae,Niviventer cremoriventer,70.63,1.85,Etard et al 2020,114,2.056904851,Fitzpatrick et al 2022,1.22,0.09,Baker et al 2020,3.7,0.568201724,Etard et al 2020,,
1036,internal,endotherm,Mammalia,Rodentia,Muridae,Niviventer culturatus,81.17,1.91,Etard et al 2020,169,2.227886705,Fitzpatrick et al 2022,1.87,0.27,Baker et al 2020,,,,,
698,internal,endotherm,Mammalia,Rodentia,Muridae,Niviventer rapit,83.24,1.92,Etard et al 2020,130,2.113943352,Fitzpatrick et al 2022,,,,,,,,
1287,internal,endotherm,Mammalia,Chiroptera,Noctiliondae,Noctilio leporinus,44,1.64,Etard et al 2020,50,1.698970004,Fitzpatrick et al 2022,0.18,-0.75,Baker et al 2020,1,0,Etard et al 2020,2.37,Animal genome size database
15,external,ectotherm,Amphibia,Anura,Myobatrachidae,Notaden bennettii,17.29,1.24,Etard et al 2020,30.693,1.487039339,Fitzpatrick et al 2022,0.01,-2.01,Baker et al 2020,500,2.698970004,Lupold et al 2017,,
100,external,ectotherm,Amphibia,Anura,Myobatrachidae,Notaden melanoscaphus,8.91,0.95,Etard et al 2020,22.575,1.353627759,Fitzpatrick et al 2022,0.02,-1.76,Baker et al 2020,1016.5,3.007107383,Etard et al 2020,,
16,external,ectotherm,Amphibia,Anura,Myobatrachidae,Notaden nichollsi,19.41,1.29,Etard et al 2020,29.666,1.472258992,Fitzpatrick et al 2022,0.02,-1.71,Byrne et al 2002,1000,3,Etard et al 2020,,
511,internal,endotherm,Mammalia,Diprotodontia,Macropodidae,Notamacropus agilis,13907.88,4.14,Etard et al 2020,113.2,2.053846427,Fitzpatrick et al 2022,25.64,1.41,Baker et al 2020,1.0075,0.003245055,Etard et al 2020,,
864,internal,endotherm,Mammalia,Diprotodontia,Macropodidae,Notamacropus eugenii,5278.48,3.72,Etard et al 2020,106.4,2.026941628,Fitzpatrick et al 2022,61.94,1.79,Baker et al 2020,1.0075,0.003245055,Etard et al 2020,,
247,internal,endotherm,Aves,Passeriformes,Notiomystidae,Notiomystis cincta,93.37,1.97,Etard et al 2020,89.73,1.952937668,Fitzpatrick et al 2022,1.57,0.2,Immler et al 2011,4,0.602059991,Etard et al 2020,,
542,internal,endotherm,Mammalia,Rodentia,Muridae,Notomys alexis,33.67,1.53,Etard et al 2020,111.6,2.047664195,Fitzpatrick et al 2022,0.05,-1.3,Baker et al 2020,3.955,0.597146488,Etard et al 2020,,
543,internal,endotherm,Mammalia,Rodentia,Muridae,Notomys cervinus,34.79,1.54,Etard et al 2020,110.6,2.043755127,Fitzpatrick et al 2022,0.2,-0.7,Baker et al 2020,2.92,0.465382851,Etard et al 2020,,
544,internal,endotherm,Mammalia,Rodentia,Muridae,Notomys fuscus,37.14,1.57,Etard et al 2020,102.5,2.010723865,Fitzpatrick et al 2022,0.07,-1.17,Baker et al 2020,3.0275,0.481084152,Etard et al 2020,,
1258,internal,endotherm,Mammalia,Rodentia,Muridae,Notomys mitchellii,47.4,1.68,Etard et al 2020,113.5,2.054995862,Fitzpatrick et al 2022,0.06,-1.21,Baker et al 2020,3.28,0.515873844,Etard et al 2020,,
1185,internal,endotherm,Aves,Charadriiformes,Scolopacidae,Numenius phaeopus,376.04,2.58,Etard et al 2020,61.7,1.790285164,Fitzpatrick et al 2022,0.35,-0.46,Baker et al 2020,4,0.602059991,Etard et al 2020,,
337,internal,endotherm,Aves,Galliformes,Numididae,Numida meleagris,1337,3.13,Etard et al 2020,77.5,1.889301703,Fitzpatrick et al 2022,3.78,0.58,Baker et al 2020,8.75,0.942008053,Etard et al 2020,1.23,Animal genome size database
769,internal,endotherm,Mammalia,Carnivora,Canidae,Nyctereutes procyonoides,4214.99,3.62,Etard et al 2020,62.9,1.798650645,Fitzpatrick et al 2022,9.18,0.96,Baker et al 2020,6.33,0.80140371,Etard et al 2020,,
925,internal,endotherm,Mammalia,Primates,Lorisidae,Nycticebus coucang,924.55,2.97,Etard et al 2020,91,1.959041392,Fitzpatrick et al 2022,1.2,0.08,Baker et al 2020,1.0775,0.032417279,Etard et al 2020,3.58,Animal genome size database
751,internal,endotherm,Mammalia,Chiroptera,Vespertilionidae,Nycticeius humeralis,8.99,0.95,Etard et al 2020,77.3,1.888179494,Fitzpatrick et al 2022,,,,1.705,0.231724383,Etard et al 2020,2.19,Animal genome size database
1333,external,ectotherm,Amphibia,Anura,Hylidae,Nyctimystes papua,2.33,0.37,Baker et al 2020,76,1.880813592,Fitzpatrick et al 2022,0,-2.77,Baker et al 2020,,,,,
498,internal,endotherm,Mammalia,Chiroptera,Vespertilionidae,Nyctophilus geoffroyi,8,0.9,Etard et al 2020,53,1.72427587,Fitzpatrick et al 2022,0.03,-1.52,Baker et al 2020,,,,,
338,internal,endotherm,Aves,Psittaciformes,Cacatuidae,Nymphicus hollandicus,94.61,1.98,Etard et al 2020,59.9,1.777426822,Fitzpatrick et al 2022,0.07,-1.16,Baker et al 2020,4.5,0.653212514,Etard et al 2020,1.45,Animal genome size database
1131,internal,endotherm,Mammalia,Rodentia,Octodontidae,Octodon bridgesi,162.25,2.21,Etard et al 2020,46.1,1.663700925,Fitzpatrick et al 2022,,,,,,,3.85,Animal genome size database
716,internal,endotherm,Mammalia,Rodentia,Octodontidae,Octodon degus,204.84,2.31,Etard et al 2020,46.9,1.671172843,Fitzpatrick et al 2022,,,,5.31,0.725094521,Etard et al 2020,4.3,Animal genome size database
1132,internal,endotherm,Mammalia,Rodentia,Octodontidae,Octodon lunatus,200.55,2.3,Etard et al 2020,43.5,1.638489257,Fitzpatrick et al 2022,,,,,,,4.4,Animal genome size database
1133,internal,endotherm,Mammalia,Rodentia,Octodontidae,Octodontomys gliroides,152.89,2.18,Etard et al 2020,46.2,1.664641976,Fitzpatrick et al 2022,,,,2.0375,0.309097617,Etard et al 2020,4.1,Animal genome size database
898,internal,endotherm,Mammalia,Cetartiodactyla,Cervidae,Odocoileus virginianus,65320,4.82,Etard et al 2020,52,1.716003344,Fitzpatrick et al 2022,85.51,1.93,Baker et al 2020,1.64,0.214843848,Etard et al 2020,,
101,external,ectotherm,Amphibia,Anura,Ranidae,Odorrana grahami,52.7,1.72,Etard et al 2020,56.6,1.752816431,Fitzpatrick et al 2022,0.05,-1.32,Baker et al 2020,2446,3.388456453,Etard et al 2020,,
102,external,ectotherm,Amphibia,Anura,Ranidae,Odorrana margaretae,33.19,1.52,Baker et al 2020,54.1,1.733197265,Fitzpatrick et al 2022,0.06,-1.19,Baker et al 2020,705,2.848189117,Etard et al 2020,,
408,internal,endotherm,Aves,Passeriformes,Turdidae,Oenanthe oenanthe,23.78,1.38,Etard et al 2020,185.2,2.267640982,Fitzpatrick et al 2022,0.71,-0.15,Baker et al 2020,5.5,0.740362689,Etard et al 2020,,
789,internal,endotherm,Mammalia,Rodentia,Arvicolidae,Ondatra zibethicus,997.96,3,Etard et al 2020,67.7,1.830588669,Fitzpatrick et al 2022,5.06,0.7,Baker et al 2020,6.4825,0.811742525,Etard et al 2020,2.78,Animal genome size database
